cause_incident,mean
Altres,1.1100840336134454
Creuar per fora pas de vianants,1.0464458804523424
Desconegut,1.9733338736803712
Desobeir altres senyals,1.4444444444444444
Desobeir el senyal del semàfor,1.0717761557177616
No és causa del  vianant,1.9661527719079033
Transitar a peu per la calçada,1.0570264765784114
